step,loss,trailing_mean,timestamp,source_line
1,16.4367,16.4367,09-25 11:25:46,1085
2,15.1356,15.78615,09-25 11:25:50,1089
3,12.518,14.696766666666667,09-25 11:25:54,1101
4,13.4589,14.3873,09-25 11:27:26,1197
5,11.931,13.89604,09-25 11:27:30,1204
6,10.754,13.372366666666666,09-25 11:27:33,1213
7,11.0168,13.035857142857143,09-25 11:27:37,1221
8,8.0371,12.4110125,09-25 11:27:41,1227
9,11.0443,12.259155555555557,09-25 11:27:49,1237
10,8.9936,11.9326,09-25 11:27:55,1244
11,7.5766,11.5366,09-25 11:27:59,1260
12,5.6422,11.0454,09-25 11:28:04,1269
13,6.622,10.705138461538464,09-25 11:28:12,1275
14,6.1849,10.382264285714287,09-25 11:28:18,1282
15,3.4669,9.921240000000003,09-25 11:28:22,1290
16,3.1731,9.49948125,09-25 11:28:27,1297
17,2.631,9.095452941176472,09-25 11:28:34,1304
18,4.3782,8.833383333333334,09-25 11:28:40,1309
19,2.2879,8.488884210526317,09-25 11:28:45,1318
20,2.2377,8.176325,09-25 11:28:50,1325
21,1.9277,7.450874999999998,09-25 11:28:57,1339
22,3.0466,6.846424999999999,09-25 11:29:03,1346
23,3.3858,6.3898150000000005,09-25 11:29:08,1354
24,1.6623,5.799985,09-25 11:29:13,1359
25,2.0584,5.306355,09-25 11:29:19,1367
26,1.5839,4.84785,09-25 11:29:26,1376
27,2.3512,4.414570000000001,09-25 11:29:31,1383
28,1.4915,4.08729,09-25 11:29:36,1389
29,1.554,3.6127750000000005,09-25 11:29:42,1397
30,1.5952,3.242855,09-25 11:29:49,1404
31,2.0056,2.9643050000000004,09-25 11:29:54,1419
32,1.3997,2.75218,09-25 11:29:59,1426
33,1.0516,2.4736599999999997,09-25 11:30:05,1433
34,1.7982,2.254325,09-25 11:30:12,1439
35,1.6383,2.162895,09-25 11:30:17,1447
36,1.6042,2.08445,09-25 11:30:22,1453
37,1.1889,2.012345,09-25 11:30:27,1461
38,1.6276,1.874815,09-25 11:30:34,1468
39,1.2699,1.823915,09-25 11:30:40,1475
40,1.1953,1.7717950000000002,09-25 11:30:45,1482
41,1.2762,1.7392200000000007,09-25 11:30:50,1497
42,1.2374,1.64876,09-25 11:30:57,1502
43,1.7817,1.5685550000000001,09-25 11:31:03,1511
44,0.994,1.53514,09-25 11:31:08,1518
45,0.9667,1.480555,09-25 11:31:12,1525
46,1.6532,1.48402,09-25 11:31:20,1532
47,2.1711,1.475015,09-25 11:31:25,1539
48,1.3664,1.4687599999999998,09-25 11:31:31,1546
49,0.6827,1.4251949999999998,09-25 11:31:35,1553
50,1.1258,1.401725,09-25 11:31:43,1559
70,4.4307,1.52298,09-25 11:33:37,1577
80,2.5242,1.5792050000000004,09-25 11:34:35,1586
90,4.7808,1.7656649999999998,09-25 11:35:31,1595
100,1.6872,1.760115,09-25 11:36:29,1604
110,2.7783,1.817115,09-25 11:37:23,1613
120,2.4292,1.8583649999999998,09-25 11:38:24,1622
130,1.6056,1.8792000000000002,09-25 11:39:17,1631
140,2.77,1.9363200000000003,09-25 11:40:18,1640
150,2.8654,2.0160950000000004,09-25 11:41:11,1649
160,0.9039,2.001525,09-25 11:42:11,1658
170,2.4648,2.0609550000000003,09-25 11:43:04,1667
180,0.9231,2.04524,09-25 11:44:05,1676
190,1.47,2.0296549999999995,09-25 11:44:58,1685
200,1.0778,2.0338450000000003,09-25 11:45:59,1694
210,1.6575,2.068385,09-25 11:46:51,1716
220,1.7506,2.0732550000000005,09-25 11:47:52,1725
230,0.7622,2.0028099999999998,09-25 11:48:45,1734
240,1.8244,2.0257099999999997,09-25 11:49:45,1743
250,0.7896,2.031055,09-25 11:50:38,1752
260,1.1902,2.034275,09-25 11:51:38,1761
270,0.9854,1.8620099999999993,09-25 11:52:31,1770
280,1.4443,1.8080149999999997,09-25 11:53:31,1779
290,1.1514,1.6265449999999997,09-25 11:54:24,1788
300,0.9045,1.5874099999999998,09-25 11:55:23,1797
310,2.0441,1.5506999999999995,09-25 11:56:16,1806
320,1.0701,1.482745,09-25 11:57:15,1815
330,1.0605,1.45549,09-25 11:58:08,1824
340,2.8707,1.460525,09-25 11:59:04,1833
350,0.7695,1.3557299999999999,09-25 11:59:59,1842
360,1.0301,1.36204,09-25 12:00:57,1851
370,1.8604,1.33182,09-25 12:01:49,1860
380,0.6998,1.320655,09-25 12:02:50,1869
390,1.188,1.306555,09-25 12:03:42,1878
400,0.784,1.2918649999999998,09-25 12:04:42,1887
410,1.0303,1.2605049999999998,09-25 12:05:35,1909
420,0.5481,1.20038,09-25 12:06:34,1918
430,1.512,1.2378700000000002,09-25 12:07:27,1927
440,2.0188,1.24759,09-25 12:08:27,1936
450,0.6771,1.241965,09-25 12:09:20,1945
460,1.508,1.257855,09-25 12:10:20,1954
470,1.834,1.3002849999999997,09-25 12:11:12,1963
480,0.9286,1.2744999999999997,09-25 12:12:13,1972
490,2.6597,1.3499149999999998,09-25 12:13:05,1981
500,0.6625,1.3378150000000002,09-25 12:16:02,1993
510,2.2458,1.3478999999999999,09-25 12:16:53,2005
520,0.9528,1.342035,09-25 12:17:48,2014
530,0.5195,1.314985,09-25 12:18:42,2023
540,1.1696,1.22993,09-25 12:19:41,2032
550,0.4952,1.2162149999999998,09-25 12:20:34,2041
560,1.4913,1.239275,09-25 12:21:33,2050
570,1.8533,1.23892,09-25 12:22:25,2059
580,1.1887,1.263365,09-25 12:23:25,2068
590,1.9894,1.303435,09-25 12:24:18,2077
600,1.0476,1.316615,09-25 12:25:18,2086
610,0.9471,1.3124550000000001,09-25 12:26:10,2108
620,0.6433,1.317215,09-25 12:27:08,2117
630,0.7696,1.2800949999999998,09-25 12:28:00,2126
640,0.8905,1.22368,09-25 12:28:58,2135
650,0.7876,1.2292049999999999,09-25 12:29:51,2144
660,0.4906,1.1783350000000001,09-25 12:30:50,2153
670,1.0911,1.1411900000000001,09-25 12:31:42,2162
680,1.8304,1.1862800000000002,09-25 12:32:41,2171
690,0.978,1.1021950000000003,09-25 12:33:33,2180
700,2.4256,1.19035,09-25 12:34:32,2189
710,1.5627,1.156195,09-25 12:35:23,2198
720,0.688,1.142955,09-25 12:36:22,2207
730,0.8951,1.1617349999999997,09-25 12:37:14,2216
740,1.1015,1.1583299999999999,09-25 12:38:13,2225
750,0.7074,1.16894,09-25 12:39:05,2234
760,0.5277,1.1207600000000002,09-25 12:40:04,2243
770,0.51,1.053595,09-25 12:40:56,2252
780,1.4176,1.0650400000000002,09-25 12:41:54,2261
790,1.6766,1.0493999999999999,09-25 12:42:47,2270
800,2.5999,1.127015,09-25 12:43:43,2279
810,1.9851,1.1789150000000002,09-25 12:44:37,2301
820,1.6115,1.227325,09-25 12:45:33,2310
830,1.335,1.2555949999999998,09-25 12:46:26,2319
840,0.6878,1.24546,09-25 12:47:22,2328
850,0.8568,1.24892,09-25 12:48:16,2337
860,0.5453,1.251655,09-25 12:49:12,2346
870,0.7396,1.23408,09-25 12:50:06,2355
880,0.5326,1.16919,09-25 12:51:01,2364
890,1.0285,1.171715,09-25 12:51:56,2373
900,0.95,1.0979349999999999,09-25 12:52:51,2382
910,1.1432,1.0769600000000001,09-25 12:53:46,2391
920,0.8943,1.0872750000000002,09-25 12:54:41,2400
930,1.2154,1.1032899999999999,09-25 12:55:36,2409
940,1.4207,1.1192499999999999,09-25 12:56:31,2418
950,0.9951,1.133635,09-25 12:57:25,2427
960,0.5477,1.1346349999999998,09-25 12:58:21,2436
970,0.3668,1.127475,09-25 12:59:15,2445
980,0.8415,1.0986699999999998,09-25 13:00:11,2454
990,1.0365,1.066665,09-25 13:01:05,2463
1000,0.4272,0.9580299999999999,09-25 13:03:51,2475
1010,1.0938,0.9134650000000001,09-25 13:04:41,2501
1020,2.0352,0.9346500000000001,09-25 13:05:33,2510
1030,0.488,0.8923,09-25 13:06:30,2519
1040,0.7309,0.894455,09-25 13:07:22,2528
1050,1.2179,0.9125099999999999,09-25 13:08:19,2537
1060,0.6705,0.91877,09-25 13:09:12,2546
1070,0.9517,0.929375,09-25 13:10:08,2555
1080,0.7124,0.9383649999999999,09-25 13:11:01,2564
1090,1.2202,0.9479499999999998,09-25 13:11:57,2573
1100,0.873,0.9440999999999999,09-25 13:12:51,2582
1110,0.8991,0.9318950000000001,09-25 13:13:47,2591
1120,1.0795,0.941155,09-25 13:14:40,2600
1130,0.5331,0.90704,09-25 13:15:36,2609
1140,1.148,0.8934050000000001,09-25 13:16:29,2618
1150,0.3317,0.8602350000000001,09-25 13:17:24,2627
1160,1.2424,0.89497,09-25 13:18:18,2636
1170,1.0576,0.9295100000000002,09-25 13:19:13,2645
1180,0.6055,0.9177099999999999,09-25 13:20:06,2654
1190,1.526,0.9421849999999999,09-25 13:21:02,2663
1200,0.5668,0.949165,09-25 13:21:56,2672
1210,0.6598,0.927465,09-25 13:22:51,2694
1220,0.8923,0.8703199999999999,09-25 13:23:44,2703
1230,0.4785,0.869845,09-25 13:24:40,2712
1240,0.93,0.8798,09-25 13:25:33,2721
1250,0.5649,0.8471500000000001,09-25 13:26:30,2730
1260,1.1884,0.8730450000000001,09-25 13:27:22,2739
1270,1.6669,0.9088049999999999,09-25 13:28:20,2748
1280,1.2803,0.9372,09-25 13:29:12,2757
1290,0.7578,0.91408,09-25 13:30:09,2766
1300,0.7754,0.9092,09-25 13:31:02,2775
1310,0.6751,0.8980000000000002,09-25 13:31:59,2784
1320,0.5912,0.8735850000000001,09-25 13:32:52,2793
1330,0.6254,0.8782,09-25 13:33:48,2802
1340,0.7274,0.85717,09-25 13:34:41,2811
1350,0.3665,0.8589100000000001,09-25 13:35:38,2820
1360,1.5562,0.8745999999999998,09-25 13:36:30,2829
1370,0.4768,0.8455600000000001,09-25 13:37:28,2838
1380,0.998,0.865185,09-25 13:38:20,2847
1390,0.5528,0.8165250000000001,09-25 13:39:17,2856
1400,0.6687,0.8216199999999999,09-25 13:40:09,2865
1410,0.6931,0.8232849999999999,09-25 13:41:06,2887
1420,0.5639,0.8068649999999998,09-25 13:41:58,2896
1430,1.1434,0.8401099999999999,09-25 13:42:55,2905
1440,0.9514,0.8411799999999999,09-25 13:43:47,2914
1450,0.5525,0.84056,09-25 13:44:45,2923
1460,0.8311,0.8226950000000001,09-25 13:45:36,2932
1470,0.5146,0.76508,09-25 13:46:35,2941
1480,0.7041,0.73627,09-25 13:47:27,2950
1490,0.4545,0.721105,09-25 13:48:25,2959
1500,1.2022,0.7424449999999999,09-25 13:51:03,2971
1510,0.8958,0.7534799999999999,09-25 13:51:53,2983
1520,0.545,0.7511699999999999,09-25 13:52:46,2992
1530,1.6567,0.802735,09-25 13:53:42,3001
1540,1.2065,0.8266899999999999,09-25 13:54:36,3010
1550,0.9358,0.8551550000000001,09-25 13:55:32,3019
1560,0.8753,0.8211100000000002,09-25 13:56:25,3028
1570,2.0146,0.898,09-25 13:57:22,3037
1580,0.6984,0.8830199999999999,09-25 13:58:15,3046
1590,0.7038,0.89057,09-25 13:59:12,3055
1600,0.614,0.8878350000000002,09-25 14:00:05,3064
1610,0.4299,0.8746750000000001,09-25 14:01:01,3086
1620,0.4888,0.8709200000000001,09-25 14:01:54,3095
1630,0.6077,0.8441350000000002,09-25 14:02:51,3104
1640,0.3872,0.815925,09-25 14:03:44,3113
1650,0.804,0.8284999999999998,09-25 14:04:41,3122
1660,0.7133,0.8226100000000001,09-25 14:05:34,3131
1670,0.5208,0.8229200000000001,09-25 14:06:30,3140
1680,1.3596,0.8556950000000001,09-25 14:07:24,3149
1690,0.7619,0.8710650000000001,09-25 14:08:21,3158
1700,1.3149,0.8767000000000001,09-25 14:09:13,3167
1710,0.9487,0.8793450000000002,09-25 14:10:10,3176
1720,0.7248,0.888335,09-25 14:11:04,3185
1730,1.0353,0.8572649999999999,09-25 14:11:59,3194
1740,0.4996,0.8219200000000001,09-25 14:12:54,3203
1750,0.4309,0.7966749999999999,09-25 14:13:48,3212
1760,0.5183,0.7788249999999999,09-25 14:14:44,3221
1770,0.5744,0.706815,09-25 14:15:39,3230
1780,0.9679,0.7202900000000001,09-25 14:16:35,3239
1790,0.9118,0.7306900000000001,09-25 14:17:29,3248
1800,0.6426,0.73212,09-25 14:18:26,3257
1810,0.793,0.750275,09-25 14:19:19,3279
